https://www.allrecipes.com/recipe/223551/pancetta-fried-cabbage/,Pancetta Fried Cabbage,"['onion', 'garlic', 'salt', 'pepper', 'cabbage', 'sauce', 'soy sauce', 'pepper', 'sauce']"
https://www.allrecipes.com/recipe/276883/pancetta-partridge-in-wine-sauce/,Pancetta Partridge in Wine Sauce,"['butter', 'mushroom', 'onion', 'garlic', 'spinach', 'water', 'mushroom', 'red wine', 'thyme']"
https://www.allrecipes.com/recipe/235417/pancetta-reduction/,Pancetta Reduction,"['butter', 'salt', 'bacon', 'onion', 'garlic', 'salt', 'tomato', 'oregano', 'pepper']"
https://www.allrecipes.com/recipe/232666/pancetta-tarragon-asparagus/,Pancetta Tarragon Asparagus,"['olive oil', 'oil', 'olive', 'shallot', 'pepper', 'salt']"
https://www.allrecipes.com/recipe/50761/pancetta-wrapped-shrimp-with-chipotle-vinaigrette-and-cilantro-oil/,Pancetta Wrapped Shrimp with Chipotle Vinaigrette and Cilantro Oil,"['oil', 'honey', 'lime', 'salt', 'pepper', 'pepper', 'sauce', 'lemon', 'rice', 'vinegar', 'garlic', 'oil', 'salt', 'eel', 'shrimp']"
https://www.allrecipes.com/recipe/233723/pancetta-wrapped-stuffed-chicken-breasts/,Pancetta Wrapped Stuffed Chicken Breasts,"['cheese', 'pepper', 'garlic', 'pepper', 'salt', 'chicken']"
https://www.allrecipes.com/recipe/230740/pancetta-wrapped-haddock-with-lemon-aioli-and-roasted-asparagus/,Pancetta-Wrapped Haddock with Lemon Aioli and Roasted Asparagus,"['mayonnaise', 'lemon', 'lemon', 'garlic', 'spray', 'salt', 'olive oil', 'oil', 'olive', 'pepper', 'bacon', 'white wine', 'water']"
https://www.allrecipes.com/recipe/236860/pancetta-wrapped-leek-gratin/,Pancetta-Wrapped Leek Gratin,"['olive oil', 'oil', 'olive', 'pepper', 'salt', 'chicken', 'white wine', 'cheese']"
https://www.allrecipes.com/recipe/269598/pancetta-wrapped-olives/,Pancetta-Wrapped Olives,"['garlic', 'olive']"
https://www.allrecipes.com/recipe/57838/pancho-villa-baked-tilapia/,Pancho Villa Baked Tilapia,"['olive oil', 'oil', 'olive', 'pepper', 'tomato', 'lime', 'lime']"
https://www.allrecipes.com/recipe/31799/pancit/,Pancit,"['noodles', 'rice', 'chicken', 'pork', 'sauce', 'soy sauce', 'pepper', 'cabbage', 'carrot', 'onion', 'eel', 'shrimp']"
https://www.allrecipes.com/recipe/212998/pancit-luglug/,Pancit Luglug,"['noodles', 'rice', 'eel', 'shrimp', 'olive oil', 'oil', 'olive', 'onion', 'garlic', 'pork', 'pepper', 'salt', 'chicken soup', 'chicken', 'chicken', 'egg', 'oil', 'onion']"
https://www.allrecipes.com/recipe/212997/pancit-molo-filipino-wonton-soup/,Pancit Molo (Filipino Wonton Soup),"['pork', 'eel', 'shrimp', 'water', 'pepper', 'salt', 'olive oil', 'oil', 'olive', 'onion', 'garlic', 'chicken', 'chicken', 'onion']"
https://www.allrecipes.com/recipe/212996/pancit-molo-wrappers/,Pancit Molo Wrappers,"['flour', 'egg', 'salt', 'water']"
https://www.allrecipes.com/recipe/262431/pancit-sotanghon/,Pancit Sotanghon,"['mushroom', 'vegetable oil', 'oil', 'garlic', 'onion', 'chicken', 'sauce', 'soy sauce', 'sauce', 'fish sauce', 'chicken', 'water', 'cabbage', 'carrot', 'pepper', 'egg', 'oil']"
